FB,init_var,final_var,mean_init,mean_final,T,step
b,49.92231138686316,64.87894323817818,-0.6546106,-1.1823431,0.2,0
b,49.92231138686316,33.43588106634547,-0.6546106,-0.5501555,0.2,1
f,49.14749738149203,45.59346868140801,0.20010784,-1.5478413,0.2,2
f,48.72183145582676,51.173054589162575,-0.12310739,-0.03512282,0.2,3
b,49.92231138686316,73.09363207055958,-0.6546106,-4.2077336,0.2,4
b,49.92231138686316,33.60519161855541,-0.6546106,-0.62880176,0.2,5
f,49.7833575867046,46.50957962268171,0.29307312,-1.4544551,0.2,6
f,48.88781872125492,56.64572213599081,0.1735491,-0.060285974,0.2,7
b,49.92231138686316,72.92055598911338,-0.6546106,-4.1884103,0.2,8
b,49.92231138686316,32.97171515242758,-0.6546106,-0.59812695,0.2,9
f,49.075010374421254,45.720131124327054,0.019732935,-1.7352358,0.2,10
f,47.381943414279704,52.0178740298727,-0.27314228,-0.3266101,0.2,11
b,49.92231138686316,72.9853947413003,-0.6546106,-4.221024,0.2,12
b,49.92231138686316,33.54788053408265,-0.6546106,-0.5981789,0.2,13
f,49.29039556600401,45.89629742809507,-0.034839805,-1.8072705,0.2,14
f,48.9030631268397,57.634858505116426,0.05439943,0.26100165,0.2,15
b,49.92231138686316,72.88537918066231,-0.6546106,-4.226418,0.2,16
b,49.92231138686316,33.26162977457193,-0.6546106,-0.6800203,0.2,17
f,49.77516888790797,47.4046661270952,0.054353897,-1.6801476,0.2,18
f,49.09897074729179,58.17809517704882,-0.110410646,0.033705413,0.2,19
b,49.92231138686316,72.80816654980663,-0.6546106,-4.2309475,0.2,20
b,49.92231138686316,34.219899122065044,-0.6546106,-0.6868339,0.2,21
f,47.95189634418625,45.17977269424955,-0.03036522,-1.7574254,0.2,22
f,47.67016473604622,60.40650154182572,-0.11094759,-0.077965364,0.2,23
b,49.92231138686316,72.5286361233484,-0.6546106,-4.2204404,0.2,24
b,49.92231138686316,33.48393516597662,-0.6546106,-0.71881443,0.2,25
f,50.07506975148863,45.74418047214772,0.083776884,-1.6885185,0.2,26
f,48.31928762362645,50.491962094984274,0.09781271,0.2532921,0.2,27
b,49.92231138686316,72.95996083157661,-0.6546106,-4.2429514,0.2,28
b,49.92231138686316,34.41353847419032,-0.6546106,-0.6922129,0.2,29
f,50.01605752686942,45.965111754668214,-0.072062254,-1.8562031,0.2,30
f,49.14839996325304,50.530941784222705,-0.13655983,0.5774016,0.2,31
b,49.92231138686316,73.15566014318028,-0.6546106,-4.285459,0.2,32
b,49.92231138686316,34.43735857164961,-0.6546106,-0.80427396,0.2,33
f,48.361087061914304,45.13055570947836,0.20981841,-1.4781748,0.2,34
f,49.44636257145612,51.421257822259804,0.014583725,0.3210698,0.2,35
b,49.92231138686316,72.86606811633192,-0.6546106,-4.2429004,0.2,36
